datetime,price,vol,B/S,order
2021-07-15 09:25:00,19.54,27,2,0
2021-07-15 09:30:00,19.53,8,1,1
2021-07-15 09:30:00,19.54,11,0,2
2021-07-15 09:30:00,19.53,44,0,3
2021-07-15 09:30:00,19.53,44,0,4
2021-07-15 09:30:00,19.53,6,0,5
2021-07-15 09:30:00,19.48,3,1,6
2021-07-15 09:30:00,19.5,5,0,7
2021-07-15 09:30:00,19.5,16,1,8
2021-07-15 09:30:00,19.5,3,1,9
2021-07-15 09:30:00,19.5,3,1,10
2021-07-15 09:30:00,19.48,14,1,11
2021-07-15 09:30:00,19.47,4,1,12
2021-07-15 09:30:00,19.46,3,1,13
2021-07-15 09:30:00,19.45,1,1,14
2021-07-15 09:30:00,19.45,5,1,15
2021-07-15 09:30:00,19.45,1,0,16
2021-07-15 09:30:00,19.46,1,0,17
2021-07-15 09:31:00,19.46,1,1,18
2021-07-15 09:31:00,19.52,4,0,19
2021-07-15 09:31:00,19.52,6,0,20
2021-07-15 09:31:00,19.52,1,1,21
2021-07-15 09:31:00,19.52,13,1,22
2021-07-15 09:31:00,19.55,20,1,23
2021-07-15 09:31:00,19.58,2,0,24
2021-07-15 09:31:00,19.58,48,1,25
2021-07-15 09:31:00,19.59,11,0,26
2021-07-15 09:31:00,19.56,80,1,27
2021-07-15 09:31:00,19.57,28,0,28
2021-07-15 09:32:00,19.57,2,0,29
2021-07-15 09:32:00,19.53,22,1,30
2021-07-15 09:32:00,19.48,1,1,31
2021-07-15 09:32:00,19.48,1,1,32
2021-07-15 09:32:00,19.48,17,1,33
2021-07-15 09:32:00,19.47,3,1,34
2021-07-15 09:32:00,19.49,4,0,35
2021-07-15 09:32:00,19.49,2,1,36
2021-07-15 09:32:00,19.49,2,0,37
2021-07-15 09:32:00,19.5,10,0,38
2021-07-15 09:32:00,19.48,3,1,39
2021-07-15 09:32:00,19.49,27,0,40
2021-07-15 09:32:00,19.47,18,1,41
2021-07-15 09:33:00,19.46,4,1,42
2021-07-15 09:33:00,19.46,1,1,43
2021-07-15 09:33:00,19.42,3,1,44
2021-07-15 09:33:00,19.43,21,1,45
2021-07-15 09:33:00,19.42,5,1,46
2021-07-15 09:33:00,19.42,43,1,47
2021-07-15 09:33:00,19.42,1,0,48
2021-07-15 09:33:00,19.44,4,0,49
2021-07-15 09:33:00,19.44,2,1,50
2021-07-15 09:33:00,19.44,8,1,51
2021-07-15 09:33:00,19.44,1,1,52
2021-07-15 09:34:00,19.44,3,1,53
2021-07-15 09:34:00,19.44,1,1,54
2021-07-15 09:34:00,19.43,5,1,55
2021-07-15 09:34:00,19.44,1,0,56
2021-07-15 09:34:00,19.43,5,1,57
2021-07-15 09:34:00,19.44,10,0,58
2021-07-15 09:34:00,19.43,14,1,59
2021-07-15 09:34:00,19.42,63,1,60
