datetime,price,vol,B/S,order
2021-07-16 09:25:00,19.02,139,2,0
2021-07-16 09:30:00,19.09,15,2,1
2021-07-16 09:30:00,19.03,59,1,2
2021-07-16 09:30:00,19.05,1,1,3
2021-07-16 09:30:00,19.04,27,1,4
2021-07-16 09:30:00,19.02,168,1,5
2021-07-16 09:30:00,19.05,16,0,6
2021-07-16 09:30:00,19.07,18,0,7
2021-07-16 09:30:00,19.03,1,2,8
2021-07-16 09:30:00,19.04,3,0,9
2021-07-16 09:30:00,19.04,17,0,10
2021-07-16 09:30:00,19.03,12,1,11
2021-07-16 09:30:00,19.04,10,0,12
2021-07-16 09:30:00,19.05,38,0,13
2021-07-16 09:30:00,19.05,1,0,14
2021-07-16 09:30:00,19.05,5,0,15
2021-07-16 09:30:00,19.05,12,0,16
2021-07-16 09:31:00,19.05,15,0,17
2021-07-16 09:31:00,19.05,21,1,18
2021-07-16 09:31:00,19.07,1,0,19
2021-07-16 09:31:00,19.07,14,0,20
2021-07-16 09:31:00,19.07,2,0,21
2021-07-16 09:31:00,19.07,22,0,22
2021-07-16 09:31:00,19.07,2,1,23
2021-07-16 09:31:00,19.1,5,0,24
2021-07-16 09:31:00,19.1,8,1,25
2021-07-16 09:31:00,19.1,1,1,26
2021-07-16 09:32:00,19.12,20,0,27
2021-07-16 09:32:00,19.13,41,0,28
2021-07-16 09:32:00,19.1,2,1,29
2021-07-16 09:32:00,19.1,25,1,30
2021-07-16 09:32:00,19.1,5,1,31
2021-07-16 09:32:00,19.1,5,1,32
2021-07-16 09:32:00,19.1,20,1,33
2021-07-16 09:32:00,19.11,12,1,34
2021-07-16 09:32:00,19.13,36,0,35
2021-07-16 09:32:00,19.13,13,0,36
2021-07-16 09:32:00,19.13,2,1,37
2021-07-16 09:33:00,19.13,15,0,38
2021-07-16 09:33:00,19.12,3,1,39
2021-07-16 09:33:00,19.11,17,1,40
2021-07-16 09:33:00,19.11,15,1,41
2021-07-16 09:33:00,19.11,4,1,42
2021-07-16 09:33:00,19.11,19,1,43
2021-07-16 09:33:00,19.11,10,1,44
2021-07-16 09:33:00,19.1,7,1,45
2021-07-16 09:33:00,19.11,21,0,46
2021-07-16 09:33:00,19.11,18,0,47
2021-07-16 09:33:00,19.1,5,1,48
2021-07-16 09:33:00,19.1,2,0,49
2021-07-16 09:34:00,19.1,7,1,50
2021-07-16 09:34:00,19.1,2,0,51
2021-07-16 09:34:00,19.09,7,1,52
2021-07-16 09:34:00,19.09,11,1,53
2021-07-16 09:34:00,19.09,1,1,54
2021-07-16 09:34:00,19.09,7,1,55
2021-07-16 09:34:00,19.09,12,0,56
2021-07-16 09:34:00,19.09,2,0,57
2021-07-16 09:34:00,19.08,1,1,58
2021-07-16 09:34:00,19.08,1,0,59
2021-07-16 09:34:00,19.07,20,1,60
2021-07-16 09:35:00,19.08,6,0,61
2021-07-16 09:35:00,19.06,9,1,62
2021-07-16 09:35:00,19.06,3,0,63
2021-07-16 09:35:00,19.05,8,1,64
2021-07-16 09:35:00,19.05,1,1,65
2021-07-16 09:35:00,19.06,8,0,66
2021-07-16 09:35:00,19.06,13,0,67
2021-07-16 09:35:00,19.05,27,1,68
2021-07-16 09:35:00,19.05,1,0,69
2021-07-16 09:35:00,19.05,4,0,70
2021-07-16 09:36:00,19.05,7,0,71
2021-07-16 09:36:00,19.05,4,1,72
2021-07-16 09:36:00,19.05,3,1,73
2021-07-16 09:36:00,19.06,1,0,74
2021-07-16 09:36:00,19.06,17,0,75
2021-07-16 09:36:00,19.06,13,0,76
2021-07-16 09:36:00,19.06,7,1,77
2021-07-16 09:36:00,19.08,5,0,78
2021-07-16 09:36:00,19.08,5,0,79
2021-07-16 09:36:00,19.07,1,1,80
2021-07-16 09:37:00,19.06,26,1,81
2021-07-16 09:37:00,19.06,8,1,82
2021-07-16 09:37:00,19.06,42,1,83
2021-07-16 09:37:00,19.06,70,0,84
2021-07-16 09:37:00,19.07,1,0,85
2021-07-16 09:37:00,19.06,9,1,86
2021-07-16 09:37:00,19.06,7,0,87
2021-07-16 09:37:00,19.06,1,1,88
2021-07-16 09:37:00,19.07,17,0,89
2021-07-16 09:37:00,19.08,14,0,90
2021-07-16 09:38:00,19.08,12,0,91
2021-07-16 09:38:00,19.08,38,0,92
2021-07-16 09:38:00,19.09,15,0,93
2021-07-16 09:38:00,19.09,7,0,94
2021-07-16 09:38:00,19.09,5,1,95
2021-07-16 09:38:00,19.09,1,1,96
2021-07-16 09:38:00,19.09,3,1,97
2021-07-16 09:39:00,19.1,1,0,98
2021-07-16 09:39:00,19.1,1,0,99
2021-07-16 09:39:00,19.1,12,0,100
2021-07-16 09:39:00,19.09,4,1,101
2021-07-16 09:39:00,19.09,14,1,102
2021-07-16 09:40:00,19.09,1,0,103
2021-07-16 09:40:00,19.08,6,1,104
2021-07-16 09:40:00,19.08,19,1,105
2021-07-16 09:40:00,19.08,3,1,106
2021-07-16 09:41:00,19.08,24,1,107
2021-07-16 09:41:00,19.07,27,1,108
2021-07-16 09:41:00,19.07,5,1,109
2021-07-16 09:41:00,19.07,3,1,110
2021-07-16 09:41:00,19.07,7,1,111
2021-07-16 09:41:00,19.07,13,1,112
2021-07-16 09:41:00,19.07,8,1,113
2021-07-16 09:41:00,19.07,17,1,114
2021-07-16 09:42:00,19.07,5,0,115
2021-07-16 09:42:00,19.07,2,0,116
2021-07-16 09:42:00,19.07,5,0,117
2021-07-16 09:42:00,19.07,9,0,118
2021-07-16 09:42:00,19.07,1,1,119
2021-07-16 09:42:00,19.07,7,1,120
2021-07-16 09:42:00,19.07,3,1,121
2021-07-16 09:42:00,19.07,17,1,122
2021-07-16 09:42:00,19.08,5,0,123
